cluster_name,computer_name,cluster_ip,private_ip,sql_ips,all_ips
PNAPDBRDC02A00,PNAPDBRDC02A01,172.23.14.50,172.23.14.51,"172.23.14.52,172.23.14.53","172.23.14.50,172.23.14.51,172.23.14.52,172.23.14.53"
PNAPDBRDC02A00,PNAPDBRDC02A02,172.23.16.50,172.23.16.51,"172.23.16.52,172.23.16.53","172.23.16.50,172.23.16.51,172.23.16.52,172.23.16.53"
PNAPDBRDC02E00,PNAPDBRDC02E01,172.23.14.20,172.23.14.21,"172.23.14.22,172.23.14.23,172.23.14.24,172.23.14.25,172.23.14.26,172.23.14.27,172.23.14.28,172.23.14.29","172.23.14.20,172.23.14.21,172.23.14.22,172.23.14.23,172.23.14.24,172.23.14.25,172.23.14.26,172.23.14.27,172.23.14.28,172.23.14.29"
PNAPDBRDC02E00,PNAPDBRDC02E02,172.23.16.20,172.23.16.21,"172.23.16.22,172.23.16.23,172.23.16.24,172.23.16.25,172.23.16.26,172.23.16.27,172.23.16.28,172.23.16.29","172.23.16.20,172.23.16.21,172.23.16.22,172.23.16.23,172.23.16.24,172.23.16.25,172.23.16.26,172.23.16.27,172.23.16.28,172.23.16.29"
PNAPDBRDC02E00,PNAPDBRDC02E03,172.23.18.20,172.23.18.21,"172.23.18.22,172.23.18.23,172.23.18.24,172.23.18.25,172.23.18.26,172.23.18.27,172.23.18.28,172.23.18.29","172.23.18.20,172.23.18.21,172.23.18.22,172.23.18.23,172.23.18.24,172.23.18.25,172.23.18.26,172.23.18.27,172.23.18.28,172.23.18.29"
PNAPDBRDC02E00,PNAPDBRDC02E04,172.23.20.20,172.23.20.21,"172.23.18.22,172.23.20.23,172.23.20.24,172.23.20.25,172.23.20.26,172.23.20.27,172.23.20.28,172.23.20.29","172.23.20.20,172.23.20.21,172.23.18.22,172.23.20.23,172.23.20.24,172.23.20.25,172.23.20.26,172.23.20.27,172.23.20.28,172.23.20.29"
PNAPDBRDC03E00,PNAPDBRDC03E01,172.23.14.30,172.23.14.31,"172.23.14.32,172.23.14.33,172.23.14.34,172.23.14.35,172.23.14.36,172.23.14.37,172.23.14.38,172.23.14.39,172.23.14.40,172.23.14.41","172.23.14.30,172.23.14.31,172.23.14.32,172.23.14.33,172.23.14.34,172.23.14.35,172.23.14.36,172.23.14.37,172.23.14.38,172.23.14.39,172.23.14.40,172.23.14.41"
PNAPDBRDC03E00,PNAPDBRDC03E02,172.23.16.30,172.23.16.31,"172.23.16.32,172.23.16.33,172.23.16.34,172.23.16.35,172.23.16.36,172.23.16.37,172.23.16.38,172.23.16.39,172.23.16.40,172.23.16.41","172.23.16.30,172.23.16.31,172.23.16.32,172.23.16.33,172.23.16.34,172.23.16.35,172.23.16.36,172.23.16.37,172.23.16.38,172.23.16.39,172.23.16.40,172.23.16.41"
PNAPDBRDC03E00,PNAPDBRDC03E03,172.23.18.30,172.23.18.31,"172.23.18.32,172.23.18.33,172.23.18.34,172.23.18.35,172.23.18.36,172.23.18.37,172.23.18.38,172.23.18.39,172.23.18.40,172.23.18.41","172.23.18.30,172.23.18.31,172.23.18.32,172.23.18.33,172.23.18.34,172.23.18.35,172.23.18.36,172.23.18.37,172.23.18.38,172.23.18.39,172.23.18.40,172.23.18.41"
PNAPDBRDC03E00,PNAPDBRDC03E04,172.23.20.30,172.23.20.31,"172.23.18.32,172.23.20.33,172.23.20.34,172.23.20.35,172.23.20.36,172.23.20.37,172.23.20.38,172.23.20.39,172.23.20.40,172.23.20.41","172.23.20.30,172.23.20.31,172.23.18.32,172.23.20.33,172.23.20.34,172.23.20.35,172.23.20.36,172.23.20.37,172.23.20.38,172.23.20.39,172.23.20.40,172.23.20.41"
